id,name,school,category,gesture,aether,charges,cooldown_s,min_cast_s,loadout_points,effect,setup_or_payoff,counters,secret
18,Amplify,Arcane,Buff,small clockwise loop,20,1,30,0.58,2,"Apply Mark for up to 15 sec; next direct hit gains 35 percent","Heavy combo setup","Dispel; Brace; force a weak consumption",false
19,Ember Attunement,Ember,Buff,flame outline,18,0,36,0.68,2,"Ember costs 15 percent less for 18 sec","Broadcasts Ember commitment","Rain; Tide pressure; Dispel",false
20,Grounding Mantle,Stone,Buff,closed diamond,24,0,30,0.72,2,"Reduce direct damage 15 percent and become Grounded for 15 sec; slower movement","Cancels lightning bonus and new Static while active","Sunder; Aether Leech; zones",false
21,Weaken,Umbra,Debuff,downward arc,18,0,24,0.48,1,"Target deals 22 percent less damage for 12 sec","Wins an expected damage exchange","Dispel; wait; utility casts",false
22,Sunder,Stone,Debuff,jagged X,22,0,24,0.62,2,"Target takes 20 percent more direct damage for 12 sec","Burst setup","Dispel; Barrier; evade follow-up",false
23,Sloth Hex,Umbra,Debuff,slow outward spiral,24,0,24,0.88,2,"Slow movement and Stamina recovery 30 percent for 12 sec","Enables zones and heavy spells","Dispel; Blink; interrupt",false
24,Aether Leech,Umbra,Debuff,downward hook,20,0,14,0.58,2,"Drain up to 18 Aether, including the target's final Aether; gain half","Can reduce target Aether to zero","Spend Aether before hit; pressure the caster",false
25,Veil Hex,Umbra,Debuff,wide crossing ribbon,30,1,20,0.95,3,"Distort visible trace ink and hide confidence for 6 sec","Does not alter actual input mapping","Dispel; preplanned simple glyph; interrupt",false
26,Entangle,Stone,Control,U with root ticks,24,0,15,0.70,2,"Root for 3 sec; target may cast","Sets up area pressure","Blink; Dispel; Barrier",false
27,Frost Bind,Tide,Control,two linked loops,28,0,20,0.82,2,"Freeze for 3 sec only if target is Chilled; target cannot move or cast","Consumes Chilled; earned hard-control payoff","Preemptive Dispel; Tenacity; Blink before resolve",false
28,Concussive Blast,Gale,Control,pushing arc,20,0,6,0.45,1,"6 damage; knockback; interrupt channel","Punishes Focus and Aether Surge","Ward; spacing; bait",false
29,Eclipse Glare,Umbra,Control,five point burst,26,0,40,0.68,2,"White out the opponent area for 4 sec while controls, guides, HUD, and spells remain visible","Removes Practice AI opponent awareness for the duration","Dispel; wait; use guides and visible spells",false
30,Thunderclap,Storm,Control,two inward lines,30,1,20,0.78,3,"8 damage; stun 2 sec only on Soaked or Static 2; target cannot move or cast","Consumes Static setup but leaves Soaked; grants Tenacity afterward","Dispel setup; Grounding Mantle; distance",false
31,Oil Script,Ember,Environmental,wavy horizontal line,16,0,42,0.58,1,"Place shared Oil zone for 21 sec","Ember ignites it for capped burst","Rain; Gust; avoid",false
32,Rain Glyph,Tide,Environmental,cloud arc then down stroke,20,0,42,0.72,1,"Create shared Rain for 21 sec; both duelists become Wet and become Soaked after 5 sec","Douses Burning; enables lightning and frost reactions","Dispel; wait out weather; Grounding mitigates Storm",false
33,Gust Wall,Gale,Environmental,three fan strokes,22,0,8,0.62,1,"Create 1.8 sec Gust zone and 1.2 sec light-projectile deflect window","Spreads fire but disperses Fog","Stone Shard; heavy projectile; reposition",false
34,Quake,Stone,Environmental,vertical line then ground slash,34,1,24,0.92,3,"10 area damage; interrupt; destroy cover","Punishes channeling and wall defense","Blink; Sidestep at release; interrupt windup",false
35,Fog Cloud,Gale,Environmental,loose open circle,20,0,36,0.68,1,"Shared reduced visibility zone for 18 sec","Conceals setup but affects caster too","Gust; Flame Wave; leave zone",false
36,Rune Snare,Arcane,Environmental,small triangle then placement tap,24,0,48,0.82,2,"Visible trap lasts up to 24 sec and roots 2 sec when crossed","Placed just ahead of the enemy lane to control movement","Dispel; avoid; Blink after trigger",false
37,Mirror Twin,Arcane,Secret,figure eight then tap,40,2,32,1.20,3,"Create one decoy matching next windup for 12 sec","Misdirection; no direct damage","Quake; area spell; watch movement shadow",true
38,Hourglass Field,Arcane,Secret,hourglass outline,45,2,45,1.25,3,"18 sec zone slows projectiles and movement 25 percent for both players","Shared timing manipulation","Leave zone; Dispel; instant utility",true
39,Phoenix Covenant,Ember,Secret,phoenix wing arc,0,3,60,1.30,3,"For 15 sec the next lethal hit leaves caster at 1 health; once per round","Visible aura; consumes all charges","Bait with small hit; Dispel; delayed damage",true
40,Prismatic Beam,Prismatic,Secret,six segment star line,50,2,50,1.35,3,"Channel up to 28 damage over 2 sec while immobile","Power depends on prior mixed resonance","Interrupt; Barrier; move behind cover",true
